ID,Customer_Name,Order_ID,Order_Date,Product,Category,Payment_Method,Status,Total,Quantity,Price
129,Customer_129,ORD-48863,2025-06-22,Science,Books,Bank Transfer,Returned,2946.84,4.0,736.71
131,Customer_131,ORD-91396,2025-06-11,Lamp,Home,PayPal,Shipped,3083.15,5.0,616.63
132,Customer_132,ORD-40186,2025-04-02,Yoga Mat,Electronics,PayPal,Delivered,266.7,1.0,266.7
133,Customer_133,ORD-68182,2024-12-05,Biography,Unknown,Credit Card,Shipped,1716.2,5.0,343.24
135,Customer_135,ORD-33656,2025-02-09,Smartwatch,Electronics,Cash on Delivery,Cancelled,1784.76,4.0,446.19
136,Customer_136,ORD-20985,2025-06-12,Headphones,Unknown,Credit Card,Delivered,696.71,1.0,696.71
138,Customer_138,ORD-34319,2025-08-09,Lamp,Home,PayPal,Processing,531.06,1.0,531.06
139,Customer_139,ORD-38418,2025-02-09,Smartphone,Electronics,Credit Card,Cancelled,1362.76,2.0,681.38
140,Customer_140,ORD-67096,2025-02-26,Fiction,Books,Credit Card,Returned,2355.92,4.0,588.98
141,Customer_141,ORD-45059,2025-02-13,Fiction,Books,Cash on Delivery,Returned,1638.12,3.0,546.04
142,Customer_142,ORD-69018,2025-10-30,Shoes,Clothing,Credit Card,Shipped,3226.3,5.0,645.26
143,Customer_143,ORD-14329,2025-07-11,T-Shirt,Clothing,Bank Transfer,Cancelled,4133.85,5.0,826.77
144,Customer_144,ORD-89452,2025-01-27,Football,Sports,Bank Transfer,Processing,4245.35,5.0,849.07
145,Customer_145,ORD-75314,2023-05-01,Laptop,Electronics,Bank Transfer,Returned,1721.98,2.0,860.99
146,Customer_146,ORD-32755,2025-07-09,Basketball,Electronics,Bank Transfer,Processing,1410.84,2.0,705.42
147,Customer_147,ORD-80707,2025-05-01,Jacket,Clothing,Cash on Delivery,Shipped,2384.6,4.0,596.15
148,Customer_148,ORD-38423,2025-03-13,Tennis Racket,Sports,Cash on Delivery,Returned,660.98,1.0,660.98
149,Customer_149,ORD-95911,2025-06-29,Comics,Books,Bank Transfer,Cancelled,4481.9,5.0,896.38
150,Customer_150,ORD-76902,2024-11-27,Yoga Mat,Sports,Credit Card,Returned,206.19,1.0,206.19
151,Customer_151,ORD-56552,2025-07-01,Comics,Books,PayPal,Processing,914.32,2.0,457.16
152,Customer_152,ORD-72869,2025-09-22,Lamp,Home,PayPal,Returned,699.33,3.0,233.11
153,Customer_153,ORD-29721,2025-07-16,Yoga Mat,Sports,Cash on Delivery,Processing,1115.6,4.0,278.9
154,Customer_154,ORD-95990,2025-02-21,Blender,Home,Cash on Delivery,Cancelled,3948.2,5.0,789.64
155,Customer_155,ORD-20182,2025-05-01,Shoes,Clothing,PayPal,Returned,40.95,1.0,40.95
157,Customer_157,ORD-34407,2025-11-06,Jacket,Clothing,Bank Transfer,Processing,1100.4,4.0,275.1
158,Customer_158,ORD-35817,2025-04-05,Smartwatch,Electronics,Cash on Delivery,Shipped,933.58,1.0,933.58
159,Customer_159,ORD-98162,2025-07-28,Microwave,Home,PayPal,Shipped,489.48,3.0,163.16
160,Customer_160,ORD-96037,2025-01-03,Science,Books,Cash on Delivery,Returned,1212.6000000000001,5.0,242.52
161,Customer_161,ORD-27653,2024-12-15,Science,Books,Bank Transfer,Shipped,837.28,4.0,209.32
162,Customer_162,ORD-27743,2025-05-19,Blender,Home,Credit Card,Returned,311.52,2.0,155.76
163,Customer_163,ORD-24378,2023-01-05,Smartwatch,Electronics,Cash on Delivery,Shipped,705.78,3.0,235.26
165,Customer_165,ORD-55695,2024-11-08,Shoes,Clothing,Credit Card,Delivered,886.26,2.0,443.13
166,Customer_166,ORD-97756,2025-07-03,T-Shirt,Electronics,Cash on Delivery,Shipped,1138.76,2.0,569.38
168,Customer_168,ORD-53430,2025-11-04,Biography,Books,PayPal,Cancelled,282.98,2.0,141.49
169,Customer_169,ORD-75539,2025-08-12,Basketball,Sports,Credit Card,Returned,582.13,1.0,582.13
170,Customer_170,ORD-21530,2025-10-03,Jeans,Clothing,Bank Transfer,Processing,3708.15,5.0,741.63
171,Customer_171,ORD-99790,2024-12-06,Shoes,Clothing,PayPal,Processing,2066.04,3.0,688.68
172,Customer_172,ORD-48008,2024-11-18,Comics,Books,Bank Transfer,Returned,1885.52,2.0,942.76
173,Customer_173,ORD-42171,2025-10-11,Lamp,Home,Credit Card,Shipped,1759.4499999999998,5.0,351.89
174,Customer_174,ORD-16766,2025-09-20,Microwave,Electronics,Credit Card,Returned,749.92,4.0,187.48
175,Customer_175,ORD-56651,2025-02-24,Headphones,Electronics,Credit Card,Processing,111.36,1.0,111.36
176,Customer_176,ORD-95794,2025-07-22,Comics,Books,Cash on Delivery,Shipped,2652.6,5.0,530.52
177,Customer_177,ORD-64136,2025-07-28,Laptop,Electronics,Bank Transfer,Returned,69.48,1.0,69.48
178,Customer_178,ORD-89906,2025-09-18,Tennis Racket,Sports,PayPal,Returned,1416.42,3.0,472.14
179,Customer_179,ORD-99328,2025-09-03,Yoga Mat,Sports,PayPal,Delivered,2606.0099999999998,3.0,868.67
180,Customer_180,ORD-86629,2025-03-26,Laptop,Unknown,Credit Card,Processing,836.76,2.0,418.38
181,Customer_181,ORD-54481,2024-12-29,Smartphone,Unknown,Cash on Delivery,Cancelled,266.48,1.0,266.48
182,Customer_182,ORD-79672,2025-08-03,Shoes,Unknown,PayPal,Processing,2153.4,4.0,538.35
184,Customer_184,ORD-67799,2025-02-15,Jeans,Unknown,Bank Transfer,Processing,404.76,4.0,101.19
185,Customer_185,ORD-57123,2025-08-14,Football,Sports,Cash on Delivery,Cancelled,1461.84,2.0,730.92
186,Customer_186,ORD-90569,2025-10-06,Laptop,Electronics,Bank Transfer,Delivered,365.34,1.0,365.34
187,Customer_187,ORD-41292,2024-11-19,Smartphone,Electronics,Bank Transfer,Returned,2648.88,3.0,882.96
188,Customer_188,ORD-58590,2024-11-19,Microwave,Home,Cash on Delivery,Shipped,2520.25,5.0,504.05
189,Customer_189,ORD-30627,2025-08-14,Lamp,Home,Cash on Delivery,Returned,814.68,1.0,814.68
190,Customer_190,ORD-38469,2025-06-29,Vacuum,Home,Bank Transfer,Processing,920.37,1.0,920.37
191,Customer_191,ORD-41810,2025-07-18,Fiction,Books,Cash on Delivery,Returned,1762.04,2.0,881.02
194,Customer_194,ORD-69764,2025-02-10,Lamp,Home,Cash on Delivery,Returned,4722.7,5.0,944.54
195,Customer_195,ORD-82876,2025-06-19,Biography,Books,Cash on Delivery,Returned,4087.3,5.0,817.46
197,Customer_197,ORD-79139,2025-06-23,Blender,Home,PayPal,Cancelled,160.16,1.0,160.16
198,Customer_198,ORD-14608,2025-07-27,Vacuum,Unknown,Cash on Delivery,Shipped,994.02,2.0,497.01
199,Customer_199,ORD-82922,2025-01-22,Blender,Home,Credit Card,Shipped,1861.3999999999999,5.0,372.28
